,id,type,release_year,runtime,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,genres,Genre_NR,Genre
15793,ts1475,SHOW,2022,44,"4,3",1111.0,"10,197","6,9","scifi, thriller, drama",genres.3,drama
15794,ts260477,SHOW,2021,45,"7,1",3229.0,"1,536",,"thriller, comedy, drama",genres.3,drama
15795,tm860261,MOVIE,2021,115,"6,3",24232.0,"44,182","7,7","romance, comedy, drama",genres.3,drama
15796,ts271321,SHOW,2021,66,"8,1",2776.0,"14,702","8,4","crime, thriller, drama",genres.3,drama
15797,tm675820,MOVIE,2021,106,"6,7",20838.0,"102,201","7,6","family, fantasy, drama",genres.3,drama
15798,ts320075,SHOW,2021,41,"7,9",7629.0,"5,317","7,7","crime, thriller, drama",genres.3,drama
15799,tm1102891,MOVIE,2021,104,"5,5",4185.0,"114,679","6,4","thriller, crime, drama",genres.3,drama
15800,tm1125844,MOVIE,2021,125,"5,1",3073.0,"194,904","6,3","horror, thriller, drama",genres.3,drama
15801,tm1064532,MOVIE,2021,101,"4,8",1380.0,"89,327","6,4","scifi, thriller, drama",genres.3,drama
15802,tm996010,MOVIE,2021,113,"5,4",729.0,"65,414","6,7","comedy, romance, drama",genres.3,drama
15803,ts307745,SHOW,2021,53,"7,7",836.0,"64,787","7,4","documentation, crime, drama",genres.3,drama
15804,ts312094,SHOW,2021,54,"6,7",404.0,"7,92","5,8","scifi, war, drama",genres.3,drama
15805,tm996040,MOVIE,2022,104,"5,2",368.0,"175,354","5,6","romance, comedy, drama",genres.3,drama
15806,tm1111595,MOVIE,2021,105,"5,5",2231.0,"20,068","6,7","romance, comedy, drama",genres.3,drama
15807,tm979182,MOVIE,2021,86,"5,5",13156.0,"94,563","5,9","horror, thriller, drama",genres.3,drama
15808,tm960430,MOVIE,2021,99,"5,9",633.0,"7,305","6,2","fantasy, animation, drama",genres.3,drama
15809,tm1102570,MOVIE,2021,128,"3,4",175.0,"18,42","4,8","thriller, history, drama",genres.3,drama
15810,tm980657,MOVIE,2021,130,"6,6",2676.0,"6,269","7,2","scifi, thriller, drama",genres.3,drama
15811,tm1038364,MOVIE,2021,117,"5,2",1367.0,"74,789","6,5","horror, thriller, drama",genres.3,drama
15812,tm919869,MOVIE,2021,111,6,3095.0,"5,162","5,8","crime, romance, drama",genres.3,drama
15813,tm1106900,MOVIE,2021,107,"3,7",336.0,"9,253","4,5","thriller, scifi, drama",genres.3,drama
15814,tm1073555,MOVIE,2021,127,"7,2",1473.0,"3,082","7,7","thriller, crime, drama",genres.3,drama
15815,tm1027177,MOVIE,2021,112,"5,6",262.0,"1,447","5,6","romance, comedy, drama",genres.3,drama
15816,tm119281,MOVIE,1967,110,"7,7",111189.0,"15,309","7,5","drama, crime, action",genres.3,action
15817,tm135083,MOVIE,1958,77,"7,5",4385.0,"3,556","7,4","drama, crime, comedy",genres.3,comedy
15818,tm356209,MOVIE,1960,158,"6,4",82.0,"1,611","6,3","drama, thriller, crime",genres.3,crime
15819,tm16812,MOVIE,1978,141,"4,2",35.0,"1,097",6,"drama, romance, action",genres.3,action
15820,tm336403,MOVIE,1973,131,"5,1",41.0,"1,08","3,8","drama, crime, thriller",genres.3,thriller
15821,tm180542,MOVIE,1984,229,"8,3",342335.0,"21,322","8,4","drama, crime, european",genres.3,european
15822,tm41289,MOVIE,1982,127,"6,6",44866.0,"15,857","6,5","drama, family, comedy",genres.3,comedy
15823,tm52274,MOVIE,1982,108,"6,3",149.0,"1,069","5,5","drama, war, european",genres.3,european
15824,tm371359,MOVIE,1986,159,"5,2",122.0,"3,243",5,"drama, thriller, action",genres.3,action
15825,tm446654,MOVIE,1989,162,"5,4",188.0,"2,744",6,"drama, action, crime",genres.3,crime
15826,tm122434,MOVIE,1994,142,"8,8",1994599.0,"57,114","8,5","drama, romance, comedy",genres.3,comedy
15827,tm191772,MOVIE,1997,136,"7,1",141308.0,"14,442","7,2","drama, history, war",genres.3,war
15828,tm189764,MOVIE,1993,97,"7,5",57399.0,"15,347","7,5","drama, crime, thriller",genres.3,thriller
15829,tm113576,MOVIE,1994,115,"7,3",57621.0,"17,027","7,3","drama, family, romance",genres.3,romance
15830,tm61103,MOVIE,1999,116,"6,4",58726.0,"11,976","6,4","drama, crime, thriller",genres.3,thriller
15831,ts20939,SHOW,1996,21,"5,7",3713.0,"7,483","7,3","drama, comedy, family",genres.3,family
15832,tm63514,MOVIE,1998,87,"7,9",4247.0,"4,869","7,8","drama, documentation, war",genres.3,war
15833,tm189171,MOVIE,1993,124,"6,7",1564.0,"3,259","6,3","drama, music, romance",genres.3,romance
15834,tm67635,MOVIE,1998,185,"7,6",51640.0,"12,564","7,7","drama, romance, comedy",genres.3,comedy
15835,tm41525,MOVIE,1999,120,"7,8",5943.0,"11,526","7,9","drama, comedy, crime",genres.3,crime
15836,ts21684,SHOW,1994,47,"7,8",3106.0,"16,211","7,3","drama, romance, comedy",genres.3,comedy
15837,tm326102,MOVIE,1998,160,"4,8",129.0,"1,221",6,"drama, music, family",genres.3,family
15838,tm7810,MOVIE,1991,100,"5,5",341.0,"1,603",6,"drama, crime, thriller",genres.3,thriller
15839,tm47530,MOVIE,1998,175,"6,4",3567.0,"2,862","6,5","drama, romance, comedy",genres.3,comedy
15840,tm340430,MOVIE,1993,145,"6,6",351.0,"1,023",4,"drama, action, crime",genres.3,crime
15841,tm44776,MOVIE,1999,106,"5,9",987.0,"0,981","5,9","drama, european, romance",genres.3,romance
15842,ts4,SHOW,2008,48,"9,5",1727694.0,"337,419","8,8","drama, thriller, crime",genres.3,crime
15843,ts11,SHOW,2010,58,"8,7",197744.0,"57,029","8,1","drama, romance, european",genres.3,european
15844,tm139658,MOVIE,2003,125,8,435503.0,"21,904","7,8","drama, fantasy, romance",genres.3,romance
15845,tm133767,MOVIE,2003,139,"7,6",474176.0,"21,297","7,1","drama, comedy, romance",genres.3,romance
15846,tm118637,MOVIE,2002,116,7,131999.0,"17,663","7,2","drama, thriller, crime",genres.3,crime
15847,tm159310,MOVIE,2005,130,"7,3",143670.0,"26,022","7,5","drama, sport, european",genres.3,european
15848,tm88045,MOVIE,2010,121,"5,4",49599.0,"11,864","5,3","drama, comedy, romance",genres.3,romance
15849,tm74780,MOVIE,2007,97,"7,4",242733.0,"19,365","7,2","drama, comedy, european",genres.3,european
15850,tm176528,MOVIE,2005,145,"7,3",146847.0,"25,556","7,7","drama, romance, european",genres.3,european
15851,tm36188,MOVIE,2008,128,"7,1",224896.0,"16,693","6,6","drama, action, thriller",genres.3,thriller
15852,tm43399,MOVIE,2001,224,"8,1",111053.0,"7,249","7,3","drama, romance, sport",genres.3,sport
15853,tm100688,MOVIE,2010,104,"7,4",13446.0,"11,922","6,9","drama, european, history",genres.3,history
15854,tm48083,MOVIE,2001,85,"4,8",73.0,"1,583",2,"drama, comedy, european",genres.3,european
15855,tm61056,MOVIE,2001,183,"8,1",71167.0,"9,318",7,"drama, comedy, romance",genres.3,romance
15856,tm32915,MOVIE,2008,128,"4,4",604.0,"1,452",7,"drama, comedy, crime",genres.3,crime
15857,tm54147,MOVIE,2008,145,"6,5",14944.0,"6,172","6,2","drama, comedy, romance",genres.3,romance
15858,tm144345,MOVIE,2003,186,"7,9",68028.0,"10,229","7,5","drama, comedy, romance",genres.3,romance
15859,tm23077,MOVIE,2006,175,"6,6",9793.0,"5,736","6,4","drama, family, romance",genres.3,romance
15860,ts4866,SHOW,2008,67,"7,4",461.0,"3,878","7,3","drama, comedy, romance",genres.3,romance
15861,tm39557,MOVIE,2008,155,"7,4",26738.0,"9,183","6,8","drama, comedy, romance",genres.3,romance
15862,tm22558,MOVIE,2006,95,"7,3",382.0,"3,194","6,8","drama, comedy, family",genres.3,family
15863,tm75544,MOVIE,2007,167,5,2603.0,"4,743","5,3","drama, sport, thriller",genres.3,thriller
15864,tm97982,MOVIE,2010,146,"7,5",5551.0,"1,813","6,4","drama, comedy, crime",genres.3,crime
15865,tm77348,MOVIE,2007,124,"7,4",11934.0,"4,304","6,4","drama, comedy, romance",genres.3,romance
15866,tm33729,MOVIE,2006,116,"7,2",9897.0,"4,558","6,4","drama, thriller, comedy",genres.3,comedy
