,id,type,release_year,runtime,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,countries,Country_NR,Country
4315,tm372610,MOVIE,2018,73,"6,5",1031.0,"3,147","6,5",GB,production_countries.1,GB
4316,tm358609,MOVIE,2018,115,"5,9",2699.0,"6,126","6,1",ES,production_countries.1,ES
4317,tm429186,MOVIE,2018,86,"6,2",496.0,"5,116","5,8",ES,production_countries.1,ES
4318,tm424162,MOVIE,2018,109,6,749.0,"2,614","6,7",TW,production_countries.1,TW
4319,tm372662,MOVIE,2018,110,"5,8",3019.0,"8,651","5,2",ES,production_countries.1,ES
4321,tm372486,MOVIE,2018,93,"6,5",1416.0,"1,804","6,1",DE,production_countries.1,DE
4322,tm414447,MOVIE,2018,99,"7,3",6143.0,"9,199","7,3",TW,production_countries.1,TW
4323,tm423950,MOVIE,2018,74,"2,3",2282.0,"11,289","2,7",MX,production_countries.1,MX
4324,tm418894,MOVIE,2018,66,"6,9",302.0,"21,875","9,1",MX,production_countries.1,MX
4325,tm426117,MOVIE,2018,100,"7,3",9159.0,"7,865","8,1",IT,production_countries.1,IT
4326,ts83925,SHOW,2018,43,"6,3",350.0,"0,789","7,6",AR,production_countries.1,AR
4327,ts83820,SHOW,2018,48,"7,1",95.0,"2,518","7,7",TH,production_countries.1,TH
4328,ts81856,SHOW,2018,24,"6,2",168.0,"1,992","7,8",BR,production_countries.1,BR
4329,tm408871,MOVIE,2018,89,"5,4",1073.0,"3,865","5,6",ES,production_countries.1,ES
4330,tm364206,MOVIE,2018,81,"7,1",245.0,"1,77","6,7",BR,production_countries.1,BR
4331,tm446424,MOVIE,2018,82,"5,2",1627.0,"8,263","5,1",CA,production_countries.1,CA
4332,tm416121,MOVIE,2018,105,"4,6",651.0,"5,067","6,1",ID,production_countries.1,ID
4333,ts83204,SHOW,2018,59,"6,5",563.0,"2,093","6,2",GB,production_countries.1,GB
4335,ts83663,SHOW,2018,68,"6,1",159.0,"3,867",8,TW,production_countries.1,TW
4336,ts82564,SHOW,2018,42,"6,8",77.0,"1,289",5,JP,production_countries.1,JP
