id;type;release_year;runtime;imdb_score;imdb_votes;tmdb_popularity;tmdb_score;countries;production_countries.1;production_countries.2;production_countries.3;production_countries.4;production_countries.5;production_countries.6;production_countries.7
tm898759;MOVIE;2020;89;;;18,035;5,7;US;US;;;;;;
tm889390;MOVIE;2020;85;;;7,739;8,1;US;US;;;;;;
tm835305;MOVIE;2019;51;;;12,461;8;US;US;;;;;;
tm845552;MOVIE;2020;90;;;3,878;6,2;US;US;;;;;;
ts237304;SHOW;2020;14;;;6,118;8,7;US;US;;;;;;
tm979689;MOVIE;2020;9;;;10,171;6,5;US;US;;;;;;
tm844497;MOVIE;2019;23;;;6,995;7,6;US;US;;;;;;
tm841410;MOVIE;2019;39;;;3,289;6,8;US;US;;;;;;
tm910040;MOVIE;2020;102;;;3,234;4;US;US;;;;;;
tm1096875;MOVIE;2020;31;;;3,444;6,5;US;US;;;;;;
tm461726;MOVIE;2019;21;;;2,805;5,8;US;US;;;;;;
tm456894;MOVIE;2019;50;;;6,146;7,4;US;US;;;;;;
tm980358;MOVIE;2020;92;;;4,746;7,3;US;US;;;;;;
tm845588;MOVIE;2019;44;;;2,076;;US;US;;;;;;
tm983091;MOVIE;2020;59;;;2,102;6;US;US;;;;;;
ts251783;SHOW;2020;13;;;3,332;9,3;US;US;;;;;;
tm840242;MOVIE;2019;63;;;2,606;5,9;US;US;;;;;;
tm918959;MOVIE;2020;20;;;1,285;2,7;US;US;;;;;;
tm831125;MOVIE;2019;10;;;2,061;5,5;US;US;;;;;;
tm890479;MOVIE;2020;17;;;3,058;4,7;US;US;;;;;;
tm472961;MOVIE;2019;36;;;2,893;5,5;US;US;;;;;;
tm945831;MOVIE;2020;44;;;3,397;7,7;US;US;;;;;;
tm896976;MOVIE;2020;23;;;3,517;10;US;US;;;;;;
ts223078;SHOW;2019;31;;;3,026;7,1;US;US;;;;;;
