id;type;release_year;runtime;genres;genres.1;genres.2;genres.3;genres.4;genres.5;genres.6;genres.7;genres.8;genres.9;imdb_score;imdb_votes;tmdb_popularity;tmdb_score
tm89054;MOVIE;2004;72;;;;;;;;;;;;;0,6;
tm1077037;MOVIE;2010;65;animation;animation;;;;;;;;;;;;
tm404676;MOVIE;2006;82;;;;;;;;;;;;;1,889;5,8
ts86241;SHOW;2004;63;;;;;;;;;;;;;0,6;
tm178395;MOVIE;2011;88;horror;horror;;;;;;;;;;;31,292;5,1
ts20648;SHOW;2011;23;scifi;scifi;;;;;;;;;;;19,375;7,4
tm170395;MOVIE;2011;91;thriller;thriller;;;;;;;;;;;13,963;6,1
tm98735;MOVIE;2011;135;;;;;;;;;;;;;0,904;6
tm1077038;MOVIE;2011;67;animation;animation;;;;;;;;;;;;
tm139617;MOVIE;2014;26;fantasy;fantasy;;;;;;;;;;;50,509;7,2
ts57744;SHOW;2014;13;animation;animation;;;;;;;;;;;5,582;6
tm458034;MOVIE;2014;25;;;;;;;;;;;;;1,566;7,1
tm132675;MOVIE;2014;44;;;;;;;;;;;;;0,009441746;
ts271005;SHOW;2014;44;;;;;;;;;;;;;0,6;
tm238829;MOVIE;2015;85;animation;animation;;;;;;;;;;;25,774;5,9
tm228657;MOVIE;2015;12;fantasy;fantasy;;;;;;;;;;;2,931;6,6
ts285233;SHOW;2016;40;scifi;scifi;;;;;;;;;;;1,008;
tm239635;MOVIE;2016;62;;;;;;;;;;;;;6,56;6,9
tm811691;MOVIE;2016;93;family;family;;;;;;;;;;;1,278;10
tm1063792;MOVIE;2015;11;;;;;;;;;;;;;;
ts82770;SHOW;2018;52;reality;reality;;;;;;;;;;;1,673;7
tm325102;MOVIE;2017;23;fantasy;fantasy;;;;;;;;;;;20,552;6,5
tm361743;MOVIE;2017;21;;;;;;;;;;;;;0,605;9
tm350887;MOVIE;2017;63;fantasy;fantasy;;;;;;;;;;;15,903;6,8
ts222363;SHOW;2017;12;;;;;;;;;;;;;2,532;
ts81827;SHOW;2018;24;animation;animation;;;;;;;;;;;1,87;10
tm444257;MOVIE;2018;98;;;;;;;;;;;;;2,014;6,5
ts317239;SHOW;2018;39;reality;reality;;;;;;;;;;;2,379;
ts82591;SHOW;2017;41;;;;;;;;;;;;;0,6;
tm428982;MOVIE;2018;109;thriller;thriller;;;;;;;;;;;1,459;6
tm447263;MOVIE;2018;27;fantasy;fantasy;;;;;;;;;;;2,821;6
ts106612;SHOW;2018;40;reality;reality;;;;;;;;;;;;
tm1073482;MOVIE;2018;86;;;;;;;;;;;;;1,4;10
tm1118527;MOVIE;2018;79;;;;;;;;;;;;;0,626;
